dataset,subject,class,total,train,val,test,effective_sessions,time_points,channels,status
vi,S13,4,60,48,6,6,,512,32,ok
vi,S13,5,60,48,6,6,,512,32,ok
vi,S13,6,60,48,6,6,,512,32,ok
vi,S13,7,60,48,6,6,,512,32,ok
vi,S13,8,60,48,6,6,,512,32,ok
vi,S13,9,60,48,6,6,,512,32,ok
vi,S14,1,60,48,6,6,,512,32,ok
vi,S14,2,60,48,6,6,,512,32,ok
vi,S14,3,60,48,6,6,,512,32,ok
vi,S14,4,60,48,6,6,,512,32,ok
vi,S14,5,60,48,6,6,,512,32,ok
vi,S14,6,60,48,6,6,,512,32,ok
vi,S14,7,60,48,6,6,,512,32,ok
vi,S14,8,60,48,6,6,,512,32,ok
vi,S14,9,60,48,6,6,,512,32,ok
vi,S15,1,60,48,6,6,,512,32,ok
vi,S15,2,60,48,6,6,,512,32,ok
vi,S15,3,60,48,6,6,,512,32,ok
vi,S15,4,60,48,6,6,,512,32,ok
vi,S15,5,60,48,6,6,,512,32,ok
vi,S15,6,60,48,6,6,,512,32,ok
vi,S15,7,60,48,6,6,,512,32,ok
vi,S15,8,60,48,6,6,,512,32,ok
vi,S15,9,60,48,6,6,,512,32,ok
vi,S16,1,60,48,6,6,,512,32,ok
vi,S16,2,60,48,6,6,,512,32,ok
vi,S16,3,60,48,6,6,,512,32,ok
vi,S16,4,60,48,6,6,,512,32,ok
vi,S16,5,60,48,6,6,,512,32,ok
vi,S16,6,60,48,6,6,,512,32,ok
vi,S16,7,60,48,6,6,,512,32,ok
vi,S16,8,60,48,6,6,,512,32,ok
vi,S16,9,60,48,6,6,,512,32,ok
vi,S17,1,60,48,6,6,,512,32,ok
vi,S17,2,60,48,6,6,,512,32,ok
vi,S17,3,60,48,6,6,,512,32,ok
vi,S17,4,60,48,6,6,,512,32,ok
vi,S17,5,60,48,6,6,,512,32,ok
vi,S17,6,60,48,6,6,,512,32,ok
vi,S17,7,60,48,6,6,,512,32,ok
vi,S17,8,60,48,6,6,,512,32,ok
vi,S17,9,60,48,6,6,,512,32,ok
vi,S18,1,60,48,6,6,,512,32,ok
vi,S18,2,60,48,6,6,,512,32,ok
vi,S18,3,60,48,6,6,,512,32,ok
vi,S18,4,60,48,6,6,,512,32,ok
vi,S18,5,60,48,6,6,,512,32,ok
vi,S18,6,60,48,6,6,,512,32,ok
vi,S18,7,60,48,6,6,,512,32,ok
vi,S18,8,60,48,6,6,,512,32,ok
vi,S18,9,60,48,6,6,,512,32,ok
vi,S19,1,60,48,6,6,,512,32,ok
vi,S19,2,60,48,6,6,,512,32,ok
vi,S19,3,60,48,6,6,,512,32,ok
vi,S19,4,60,48,6,6,,512,32,ok
vi,S19,5,60,48,6,6,,512,32,ok
vi,S19,6,60,48,6,6,,512,32,ok
vi,S19,7,60,48,6,6,,512,32,ok
vi,S19,8,60,48,6,6,,512,32,ok
vi,S19,9,60,48,6,6,,512,32,ok
vi,S20,1,60,48,6,6,,512,32,ok
vi,S20,2,60,48,6,6,,512,32,ok
vi,S20,3,60,48,6,6,,512,32,ok
vi,S20,4,60,48,6,6,,512,32,ok
vi,S20,5,60,48,6,6,,512,32,ok
vi,S20,6,60,48,6,6,,512,32,ok
vi,S20,7,60,48,6,6,,512,32,ok
vi,S20,8,60,48,6,6,,512,32,ok
vi,S20,9,60,48,6,6,,512,32,ok
vi,S21,1,60,48,6,6,,512,32,ok
vi,S21,2,60,48,6,6,,512,32,ok
vi,S21,3,60,48,6,6,,512,32,ok
vi,S21,4,60,48,6,6,,512,32,ok
vi,S21,5,60,48,6,6,,512,32,ok
vi,S21,6,60,48,6,6,,512,32,ok
vi,S21,7,60,48,6,6,,512,32,ok
vi,S21,8,60,48,6,6,,512,32,ok
vi,S21,9,60,48,6,6,,512,32,ok
vi,S22,1,60,48,6,6,,512,32,ok
vi,S22,2,60,48,6,6,,512,32,ok
vi,S22,3,60,48,6,6,,512,32,ok
vi,S22,4,60,48,6,6,,512,32,ok
vi,S22,5,60,48,6,6,,512,32,ok
vi,S22,6,60,48,6,6,,512,32,ok
vi,S22,7,60,48,6,6,,512,32,ok
vi,S22,8,60,48,6,6,,512,32,ok
vi,S22,9,60,48,6,6,,512,32,ok
vi,S23,1,60,48,6,6,,512,32,ok
vi,S23,2,60,48,6,6,,512,32,ok
vi,S23,3,60,48,6,6,,512,32,ok
vi,S23,4,60,48,6,6,,512,32,ok
vi,S23,5,60,48,6,6,,512,32,ok
vi,S23,6,60,48,6,6,,512,32,ok
vi,S23,7,60,48,6,6,,512,32,ok
vi,S23,8,60,48,6,6,,512,32,ok
vi,S23,9,60,48,6,6,,512,32,ok
vi,S24,1,60,48,6,6,,512,32,ok
vi,S24,2,60,48,6,6,,512,32,ok
vi,S24,3,60,48,6,6,,512,32,ok
vi,S24,4,60,48,6,6,,512,32,ok
vi,S24,5,60,48,6,6,,512,32,ok
vi,S24,6,60,48,6,6,,512,32,ok
vi,S24,7,60,48,6,6,,512,32,ok
vi,S24,8,60,48,6,6,,512,32,ok
vi,S24,9,60,48,6,6,,512,32,ok
vi,S25,1,60,48,6,6,,512,32,ok
vi,S25,2,60,48,6,6,,512,32,ok
vi,S25,3,60,48,6,6,,512,32,ok
vi,S25,4,60,48,6,6,,512,32,ok
vi,S25,5,60,48,6,6,,512,32,ok
vi,S25,6,60,48,6,6,,512,32,ok
vi,S25,7,60,48,6,6,,512,32,ok
vi,S25,8,60,48,6,6,,512,32,ok
vi,S25,9,60,48,6,6,,512,32,ok
vi,S26,1,60,48,6,6,,512,32,ok
vi,S26,2,60,48,6,6,,512,32,ok
vi,S26,3,60,48,6,6,,512,32,ok
vi,S26,4,60,48,6,6,,512,32,ok
vi,S26,5,60,48,6,6,,512,32,ok
vi,S26,6,60,48,6,6,,512,32,ok
vi,S26,7,60,48,6,6,,512,32,ok
vi,S26,8,60,48,6,6,,512,32,ok
vi,S26,9,60,48,6,6,,512,32,ok
vi,S27,1,60,48,6,6,,512,32,ok
vi,S27,2,60,48,6,6,,512,32,ok
vi,S27,3,60,48,6,6,,512,32,ok
vi,S27,4,60,48,6,6,,512,32,ok
vi,S27,5,60,48,6,6,,512,32,ok
vi,S27,6,60,48,6,6,,512,32,ok
vi,S27,7,60,48,6,6,,512,32,ok
vi,S27,8,60,48,6,6,,512,32,ok
vi,S27,9,60,48,6,6,,512,32,ok
vi,S28,1,60,48,6,6,,512,32,ok
vi,S28,2,60,48,6,6,,512,32,ok
vi,S28,3,60,48,6,6,,512,32,ok
vi,S28,4,60,48,6,6,,512,32,ok
vi,S28,5,60,48,6,6,,512,32,ok
vi,S28,6,60,48,6,6,,512,32,ok
vi,S28,7,60,48,6,6,,512,32,ok
vi,S28,8,60,48,6,6,,512,32,ok
vi,S28,9,60,48,6,6,,512,32,ok
vi,S29,1,60,48,6,6,,512,32,ok
vi,S29,2,60,48,6,6,,512,32,ok
vi,S29,3,60,48,6,6,,512,32,ok
vi,S29,4,60,48,6,6,,512,32,ok
vi,S29,5,60,48,6,6,,512,32,ok
vi,S29,6,60,48,6,6,,512,32,ok
vi,S29,7,60,48,6,6,,512,32,ok
vi,S29,8,60,48,6,6,,512,32,ok
vi,S29,9,60,48,6,6,,512,32,ok
vi,S30,1,60,48,6,6,,512,32,ok
vi,S30,2,60,48,6,6,,512,32,ok
vi,S30,3,60,48,6,6,,512,32,ok
vi,S30,4,60,48,6,6,,512,32,ok
vi,S30,5,60,48,6,6,,512,32,ok
vi,S30,6,60,48,6,6,,512,32,ok
vi,S30,7,60,48,6,6,,512,32,ok
vi,S30,8,60,48,6,6,,512,32,ok
vi,S30,9,60,48,6,6,,512,32,ok
vi,S31,1,60,48,6,6,,512,32,ok
vi,S31,2,60,48,6,6,,512,32,ok
vi,S31,3,60,48,6,6,,512,32,ok
vi,S31,4,60,48,6,6,,512,32,ok
vi,S31,5,60,48,6,6,,512,32,ok
vi,S31,6,60,48,6,6,,512,32,ok
vi,S31,7,60,48,6,6,,512,32,ok
vi,S31,8,60,48,6,6,,512,32,ok
vi,S31,9,60,48,6,6,,512,32,ok
vi,S32,1,60,48,6,6,,512,32,ok
vi,S32,2,60,48,6,6,,512,32,ok
vi,S32,3,60,48,6,6,,512,32,ok
vi,S32,4,60,48,6,6,,512,32,ok
vi,S32,5,60,48,6,6,,512,32,ok
vi,S32,6,60,48,6,6,,512,32,ok
vi,S32,7,60,48,6,6,,512,32,ok
vi,S32,8,60,48,6,6,,512,32,ok
vi,S32,9,60,48,6,6,,512,32,ok
vi,S33,1,60,48,6,6,,512,32,ok
vi,S33,2,60,48,6,6,,512,32,ok
vi,S33,3,60,48,6,6,,512,32,ok
vi,S33,4,60,48,6,6,,512,32,ok
vi,S33,5,60,48,6,6,,512,32,ok
vi,S33,6,60,48,6,6,,512,32,ok
vi,S33,7,60,48,6,6,,512,32,ok
vi,S33,8,60,48,6,6,,512,32,ok
vi,S33,9,60,48,6,6,,512,32,ok
vi,S34,1,60,48,6,6,,512,32,ok
vi,S34,2,60,48,6,6,,512,32,ok
vi,S34,3,60,48,6,6,,512,32,ok
vi,S34,4,60,48,6,6,,512,32,ok
vi,S34,5,60,48,6,6,,512,32,ok
vi,S34,6,60,48,6,6,,512,32,ok
vi,S34,7,60,48,6,6,,512,32,ok
vi,S34,8,60,48,6,6,,512,32,ok
vi,S34,9,60,48,6,6,,512,32,ok
